#,country_txt,Population,World
1,China,1388232693,0.185
2,India,1342512706,0.179
3,United States,326474013,0.043
4,Indonesia,263510146,0.035
5,Brazil,211243220,0.028
6,Pakistan,196744376,0.026
7,Nigeria,191835936,0.026
8,Bangladesh,164827718,0.022
9,Russia,143375006,0.019
10,Mexico,130222815,0.017
11,Japan,126045211,0.017
12,Ethiopia,104344901,0.014
13,Philippines,103796832,0.014
14,Viet Nam,95414640,0.013
15,Egypt,95215102,0.013
16,DR Congo,82242685,0.011
17,Iran,80945718,0.011
18,West Germany (FRG),80636124,0.011
19,Turkey,80417526,0.011
20,Thailand,68297547,0.009
21,United Kingdom,65511098,0.009
22,France,64938716,0.009
23,Italy,59797978,0.008
24,Tanzania,56877529,0.008
25,South Africa,55436360,0.007
26,Myanmar,54836483,0.007
27,South Korea,50704971,0.007
28,Colombia,49067981,0.007
29,Kenya,48466928,0.006
30,Spain,46070146,0.006
31,Ukraine,44405055,0.006
32,Argentina,44272125,0.006
33,Sudan,42166323,0.006
34,Uganda,41652938,0.006
35,Algeria,41063753,0.005
36,Iraq,38654287,0.005
37,Poland,38563573,0.005
38,Canada,36626083,0.005
39,Morocco,35241418,0.005
40,Afghanistan,34169169,0.005
41,Saudi Arabia,32742664,0.004
42,Peru,32166473,0.004
43,Venezuela,31925705,0.004
44,Malaysia,31164177,0.004
45,Uzbekistan,30690914,0.004
46,Mozambique,29537914,0.004
47,Nepal,29187037,0.004
48,Ghana,28656723,0.004
49,Yemen,28119546,0.004
50,Angola,26655513,0.004
51,Madagascar,25612972,0.003
52,North Korea,25405296,0.003
53,Australia,24641662,0.003
54,Cameroon,24513689,0.003
55,Côte d'Ivoire,23815886,0.003
56,Niger,21563607,0.003
57,Sri Lanka,20905335,0.003
58,Romania,19237513,0.003
59,Burkina Faso,19173322,0.003
60,Syria,18906907,0.003
61,Mali,18689966,0.002
62,Chile,18313495,0.002
63,Malawi,18298679,0.002
64,Kazakhstan,18064470,0.002
65,Zambia,17237931,0.002
66,Netherlands,17032845,0.002
67,Guatemala,17005497,0.002
68,Ecuador,16625776,0.002
69,Zimbabwe,16337760,0.002
70,Cambodia,16076370,0.002
71,Senegal,16054275,0.002
72,Chad,14965482,0.002
73,Guinea,13290659,0.002
74,South Sudan,13096190,0.002
75,Rwanda,12159586,0.002
76,Burundi,11936481,0.002
77,Tunisia,11494760,0.002
78,Benin,11458611,0.002
79,Belgium,11443830,0.002
80,Somalia,11391962,0.002
81,Cuba,11390184,0.002
82,Bolivia,11052864,0.001
83,Haiti,10983274,0.001
84,Greece,10892931,0.001
85,Dominican Republic,10766564,0.001
86,Czech Republic,10555130,0.001
87,Portugal,10264797,0.001
88,Azerbaijan,9973697,0.001
89,Sweden,9920624,0.001
90,Hungary,9787905,0.001
91,Belarus,9458535,0.001
92,United Arab Emirates,9397599,0.001
93,Tajikistan,8858115,0.001
94,Serbia,8776940,0.001
95,Austria,8592400,0.001
96,Switzerland,8454083,0.001
97,Israel,8323248,0.001
98,Honduras,8304677,0.001
99,Papua New Guinea,7933841,0.001
100,Jordan,7876703,0.001
101,Togo,7691915,0.001
102,Bulgaria,7045259,0.001
103,Laos,7037521,0.001
104,Paraguay,6811583,0.001
105,Sierra Leone,6732899,0.001
106,Libya,6408742,0.001
107,Nicaragua,6217796,0.001
108,El Salvador,6167147,0.001
109,Kyrgyzstan,6124945,0.001
110,Lebanon,6039277,0.001
111,Singapore,5784538,0.001
112,Denmark,5711837,0.001
113,Finland,5541274,0.001
114,Turkmenistan,5502586,0.001
115,Eritrea,5481906,0.001
116,Slovakia,5432157,0.001
117,Norway,5330800,0.001
118,Central African Republic,5098826,0.001
119,State of Palestine,4928225,0.001
120,Costa Rica,4905626,0.001
121,Congo,4866243,0.001
122,Ireland,4749153,0.001
123,Oman,4741305,0.001
124,Liberia,4730437,0.001
125,New Zealand,4604871,0.001
126,Mauritania,4266448,0.001
127,Croatia,4209815,0.001
128,Kuwait,4099932,0.001
129,Moldova,4054640,0.001
130,Panama,4051284,0.001
131,Georgia,3972532,0.001
132,Bosnia and Herzegovina,3792759,0.001
133,Uruguay,3456877,0
134,Mongolia,3051900,0
135,Armenia,3031670,0
136,Albania,2911428,0
137,Lithuania,2830582,0
138,Jamaica,2813285,0
139,Namibia,2568569,0
140,Botswana,2343981,0
141,Qatar,2338085,0
142,Lesotho,2185159,0
143,Gambia,2120418,0
144,TFYR Macedonia,2083308,0
145,Slovenia,2071252,0
146,Latvia,1944565,0
147,Guinea-Bissau,1932871,0
148,Gabon,1801232,0
149,Bahrain,1418895,0
150,Trinidad and Tobago,1369157,0
151,Swaziland,1320356,0
152,Estonia,1305755,0
153,Mauritius,1281353,0
154,Timor-Leste,1237251,0
155,Cyprus,1187575,0
156,Djibouti,911382,0
157,Fiji,902547,0
158,Equatorial Guinea,894464,0
159,Comoros,825920,0
160,Bhutan,792877,0
161,Guyana,774407,0
162,Montenegro,626250,0
163,Solomon Islands,606215,0
164,Luxembourg,584103,0
165,Suriname,552112,0
166,Cabo Verde,533468,0
167,Brunei,434448,0
168,Malta,420521,0
